date,head,hign,low,tail,amount,money
2017-03-02,931.00,956.00,921.00,956.00,164700,154663500
2017-03-01,915.00,932.00,901.00,915.00,65500,59997100
2017-02-28,906.00,906.00,898.00,900.00,22800,20554600
2017-02-27,915.00,919.00,903.00,905.00,29700,26993900
2017-02-24,915.00,924.00,912.00,921.00,27700,25408400
2017-02-23,923.00,923.00,910.00,915.00,31900,29253800
2017-02-22,888.00,928.00,886.00,923.00,109600,100000700
2017-02-21,891.00,891.00,880.00,882.00,50900,45022300
2017-02-20,882.00,890.00,882.00,884.00,15800,13969600
2017-02-17,886.00,889.00,881.00,882.00,9400,8313500
2017-02-16,888.00,896.00,879.00,882.00,28000,24806800
2017-02-15,888.00,889.00,878.00,883.00,34100,30143400
2017-02-14,876.00,891.00,871.00,888.00,28800,25450700
2017-02-13,900.00,903.00,858.00,869.00,53600,47047200
2017-02-10,880.00,895.00,872.00,890.00,34300,30271500
2017-02-09,896.00,898.00,872.00,874.00,45800,40598900
2017-02-08,884.00,891.00,878.00,887.00,21800,19304600
2017-02-07,879.00,885.00,870.00,879.00,34900,30576300
2017-02-06,860.00,881.00,854.00,870.00,41000,35580900
2017-02-03,864.00,875.00,858.00,860.00,38600,33336300
2017-02-02,870.00,880.00,865.00,872.00,47900,41765100
2017-02-01,890.00,899.00,865.00,875.00,83800,73357600
2017-01-31,901.00,905.00,892.00,892.00,51100,45789200
2017-01-30,904.00,918.00,895.00,901.00,42400,38315000
2017-01-27,910.00,920.00,902.00,904.00,41500,37733000
2017-01-26,921.00,922.00,908.00,908.00,47200,43160600
2017-01-25,910.00,919.00,899.00,912.00,53500,48630600
2017-01-24,930.00,930.00,898.00,898.00,66100,60340700
2017-01-23,935.00,941.00,894.00,916.00,100400,91456400
2017-01-20,935.00,947.00,925.00,926.00,69300,64477400
2017-01-19,935.00,957.00,926.00,927.00,113900,106635300
2017-01-18,919.00,936.00,909.00,935.00,255600,235461600
2017-01-17,892.00,997.00,885.00,949.00,991900,921018300
2017-01-16,1207.00,1207.00,1176.00,1177.00,27700,32888000
2017-01-13,1160.00,1219.00,1159.00,1181.00,73800,87885300
2017-01-12,1165.00,1187.00,1155.00,1167.00,45100,52676000
2017-01-11,1208.00,1233.00,1177.00,1187.00,85200,102070300
2017-01-10,1235.00,1259.00,1205.00,1224.00,74500,91807600
2017-01-06,1230.00,1247.00,1198.00,1245.00,75600,92094200
2017-01-05,1160.00,1250.00,1160.00,1223.00,104200,125378600
2017-01-04,1150.00,1187.00,1149.00,1155.00,50200,58237600
